,index,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime,Index,Label,Condition,id
0,0.0,26.7887,0.0,78.43241448023912,0,2.8943100000000004,2.8942927573893407,2.896160523091305,-0.001867765732421301,0,0,0,0,0,0,1,0,1,neutral,0
1,0.015873015873015872,28.67464,0.0,78.43241448023912,0,2.8946611036231005,2.896084068073004,2.8962401513334517,-0.00015608329101731225,0,0,0,0,0,0,1,1,1,neutral,0
2,0.031746031746031744,29.5116,0.0,78.43241448023912,0,2.8956660412165873,2.89791560824626,2.8963197807918153,0.0015958274237618322,0,0,0,0,0,0,1,2,1,neutral,0
3,0.047619047619047616,29.74765,0.0,78.43241448023912,0,2.8972522528667444,2.8998447752542034,2.8963994096280463,0.0034453655953612765,0,0,0,0,0,0,1,3,1,neutral,0
4,0.06349206349206349,29.87506,0.0,78.43241448023912,0,2.899347178659852,2.901921105659542,2.896479036004749,0.005442069623883508,0,0,0,0,0,0,1,4,1,neutral,0
5,0.07936507936507936,30.29344,0.0,78.43241448023912,0,2.9018782586821916,2.904181912768442,2.8965586580865708,0.007623254650847806,0,0,0,0,0,0,0,5,1,neutral,0
6,0.09523809523809523,31.20581,0.0,78.43241448023912,0,2.9047729330200447,2.9066490709136987,2.8966382740413708,0.010010796841189398,0,0,0,0,0,0,0,6,1,neutral,0
7,0.1111111111111111,32.63681,0.0,78.43241448023912,0,2.9079586417596937,2.90932715648235,2.896717882041494,0.012609274409601794,0,0,0,0,0,0,0,7,1,neutral,0
8,0.12698412698412698,34.44807,0.0,78.43241448023912,0,2.9113628249874197,2.912203016662682,2.896797480265158,0.015405536366152703,0,0,0,0,0,0,0,8,1,neutral,0
9,0.14285714285714285,36.39877,0.0,78.43241448023912,0,2.914912922789504,2.9152467084668117,2.89687706689796,0.018369641537362858,0,0,0,0,0,0,0,9,1,neutral,0
10,0.15873015873015872,38.24896,0.0,78.43241448023912,0,2.918536375252229,2.918413643201879,2.896956640134488,0.021457003035783868,0,0,0,0,0,0,0,10,1,neutral,0
11,0.1746031746031746,39.85403,0.0,78.43241448023912,0,2.9221606224618752,2.921647691056002,2.8970361981800323,0.024611492844243632,0,0,0,0,0,0,0,11,1,neutral,0
12,0.19047619047619047,41.20198,0.0,78.43241448023912,0,2.925713104504725,2.924884949057327,2.89711573925236,0.027769209773122187,0,0,0,0,0,0,0,12,1,neutral,0
13,0.20634920634920634,42.42885,0.0,78.43241448023912,0,2.92912126146706,2.92805785289809,2.897195261583529,0.030862591282597995,0,0,0,0,0,0,0,13,1,neutral,0
14,0.2222222222222222,43.76579,0.0,78.43241448023912,0,2.9323125334351605,2.9310993166745125,2.8972747634217004,0.03382455322073079,0,0,0,0,0,0,0,14,1,neutral,0
15,0.23809523809523808,45.45142,0.0,78.43241448023912,0,2.9352143604953103,2.933946610956701,2.8973542430329173,0.03659236789158422,0,0,0,0,0,0,0,15,1,neutral,0
16,0.25396825396825395,47.61247,0.0,78.43241448023912,0,2.9377541827337885,2.936544734490287,2.8974336987028058,0.039111035755163705,0,0,0,0,0,0,0,16,1,neutral,0
17,0.2698412698412698,50.20686,0.0,78.43241448023912,0,2.9398750837235976,2.93884909342512,2.8975131287381646,0.041335964654519886,0,0,0,0,0,0,0,17,1,neutral,0
18,0.2857142857142857,53.04103,0.0,78.43241448023912,0,2.941590595185655,2.9408273689414064,2.8975925314684168,0.04323483744043654,0,0,0,0,0,0,0,18,1,neutral,0
19,0.30158730158730157,55.86896,0.0,78.43241448023912,0,2.942934071006882,2.9424605236766594,2.8976719052468907,0.04478861839709822,0,0,0,0,0,0,0,19,1,neutral,0
20,0.31746031746031744,58.49501,0.0,78.43241448023912,0,2.9439388661599453,2.943742963406161,2.8977512484519177,0.04599171492145479,0,0,0,0,0,0,0,20,1,neutral,0
21,0.3333333333333333,60.89784,0.0,78.43241448023912,0,2.9446383356175136,2.9446819274700053,2.897830559487733,0.0468513679493662,0,0,0,0,0,0,0,21,1,neutral,0
22,0.3492063492063492,63.22398,0.0,78.43241448023912,0,2.945065834352255,2.9452962253973576,2.8979098367851748,0.04738638857915874,0,0,0,0,0,0,0,22,1,neutral,0
23,0.36507936507936506,65.73915,3.0147256817058876,78.43241448023912,0,2.9452547173368386,2.945614466035826,2.89798907880219,0.04762538720049359,0,1,0,-2147483648,-2147483648,0,0,23,1,neutral,0
24,0.38095238095238093,68.63925,6.856521411914347,78.43241448023912,0,2.9452383395439314,2.9456729392805343,2.8980682840241525,0.04760465522312055,0,0,0,0,0,0,0,24,1,neutral,0
25,0.3968253968253968,71.8588,10.937350730301603,78.43241448023912,0,2.9450500559462007,2.945513310824541,2.8981474509640135,0.04736585982714693,0,0,0,0,0,0,0,25,1,neutral,0
26,0.4126984126984127,75.01099,14.906174657329085,78.43241448023912,0,2.9447232215163166,2.9451802798016917,2.8982265781622996,0.046953701605891775,0,0,0,0,0,0,0,26,1,neutral,0
27,0.42857142857142855,77.45709,18.248737593972375,78.43241448023912,0,2.944291191226946,2.9447193307550723,2.8983056641869887,0.04641366653446291,0,0,0,0,0,0,0,27,1,neutral,0
28,0.4444444444444444,78.5177,20.43077754173362,78.43241448023912,0,2.9437873200507574,2.944174687988098,2.8983847076332836,0.045789980321071934,0,0,0,0,0,0,0,28,1,neutral,0
29,0.4603174603174603,77.77893,21.07119070844411,78.43241448023912,0,2.943244962960418,2.9435875546290835,2.89846370712331,0.045123847471909104,0,0,0,0,0,0,0,29,1,neutral,0
30,0.47619047619047616,75.2417,20.08710431684132,78.43241448023912,0,2.9426974749285977,2.942994692703581,2.8985426613057688,0.04445203136382563,0,0,0,0,0,0,0,30,1,neutral,0
31,0.49206349206349204,71.34015,17.770496703328263,78.43241448023912,0,2.942178210927963,2.9424273755948014,2.898621568855557,0.04380580670513594,0,0,0,0,0,0,0,31,1,neutral,0
32,0.5079365079365079,66.83109,14.784932818917827,78.43241448023912,0,2.9417205259311823,2.9419107213659497,2.8987004284733886,0.04321029285833076,0,0,0,0,0,0,0,32,1,neutral,0
33,0.5238095238095237,62.62775,12.091556196745938,78.43241448023912,0,2.9413522944036035,2.941463395016587,2.898779238885425,0.0426841560968104,0,0,0,0,0,0,0,33,1,neutral,0
34,0.5396825396825397,59.67529,10.816168631138067,78.43241448023912,0,2.9410735866470543,2.941097650185545,2.898857998842937,0.04223965130813501,0,0,0,0,0,0,0,34,1,neutral,0
35,0.5555555555555556,58.87885,12.062039740712287,78.43241448023912,0,2.940875676924876,2.9408196664897353,2.8989367071220014,0.04188295933314032,0,0,0,0,0,0,0,35,1,neutral,0
36,0.5714285714285714,61.07758,16.675332142835586,78.43241448023912,0,2.940749836049123,2.9406301281293703,2.899015362523244,0.04161476557141277,0,0,0,0,0,0,0,36,1,neutral,0
37,0.5873015873015872,66.82883,24.995149417213007,78.43241448023912,0,2.9406873348318543,2.9405249831116778,2.8990939638716355,0.04143101920520899,0,0,0,0,0,0,0,37,1,neutral,0
38,0.6031746031746031,76.11127,36.65969187846734,78.43241448023912,0,2.9406794440851267,2.9404963206750088,2.89917251001633,0.041323810623725934,0,0,0,0,0,0,0,38,1,neutral,0
39,0.6190476190476191,88.03781,50.56318863729953,78.43241448023912,0,2.9407174346209985,2.940533306977673,2.8992509998305613,0.041282307112038834,0,0,0,0,0,0,0,39,1,neutral,0
40,0.6349206349206349,100.8347,65.03270829389561,78.43241448023912,0,2.9407925772515258,2.9406231251225314,2.899329432211574,0.041293692875765224,0,0,0,0,0,0,0,40,1,neutral,0
41,0.6507936507936507,112.2754,78.21329877245351,78.43241448023912,0,2.940896142788766,2.9407518740840937,2.899407806080597,0.041344067968183754,0,0,0,0,0,0,0,41,1,neutral,0
42,0.6666666666666666,120.3398,88.54755105378078,78.43241448023912,0,2.941019402044777,2.94090539095238,2.899486120382847,0.041419270534099335,0,0,0,0,0,0,0,42,1,neutral,0
43,0.6825396825396826,123.9649,95.170213020056,78.43241448023912,0,2.9411536258316153,2.9410699710407893,2.8995643740875523,0.041505596917682006,0,0,0,0,0,0,0,43,1,neutral,0
44,0.6984126984126984,123.3078,98.05733556958147,78.43241448023912,1,2.941290084961339,2.9412329699494553,2.8996425661879917,0.041590403725787345,0,0,0,0,0,0,0,44,1,neutral,0
45,0.7142857142857142,119.5218,97.8743389461704,81.18601816446636,0,2.9414200502460055,2.9413832800185795,2.899720695701542,0.04166258428123913,0,0,0,0,0,0,0,45,1,neutral,0
46,0.7301587301587301,114.0562,95.60695989723966,84.13847940566089,0,2.941534792497672,2.941511680418511,2.899798761669726,0.041712918712864575,0,0,0,0,0,0,0,46,1,neutral,0
47,0.746031746031746,107.9854,92.15688024594112,87.29866821431366,0,2.941625582528395,2.9416110653382668,2.899876763158249,0.04173430214397614,0,0,0,0,0,0,0,47,1,neutral,0
48,0.7619047619047619,101.6525,88.0852293730432,90.67465491005763,0,2.9416836911502324,2.941676558491314,2.899954699257026,0.041721859198123906,0,0,0,0,0,0,0,48,1,neutral,0
49,0.7777777777777777,94.78989,83.59335271444999,94.27317381155943,0,2.9417019897074597,2.941705524718416,2.9000325690801954,0.04167295560193538,0,0,0,0,0,0,0,49,1,neutral,0
50,0.7936507936507936,87.01624,78.69761796888363,98.09893414575772,0,2.9416825087960907,2.941697491114969,2.900110371766106,0.0415871193124558,0,0,0,0,0,0,0,50,1,neutral,0
51,0.8095238095238095,78.28815,73.45999774637596,102.15374944571307,0,2.941630531605365,2.941653991056731,2.900188106477294,0.04146588454290603,0,0,0,0,0,0,0,51,1,neutral,0
52,0.8253968253968254,69.09314,68.1287247013044,106.43545765294155,0,2.9415513452039486,2.9415783448444297,2.900265772400431,0.041312572407344775,0,0,0,0,0,0,0,52,1,neutral,0
53,0.8412698412698412,60.25067,63.11878005727689,110.93660940917849,0,2.941450236660509,2.9414753904634265,2.9003433687462543,0.04113202168039474,0,0,0,0,0,0,0,53,1,neutral,0
54,0.8571428571428571,52.5163,58.867748581845866,115.64291408202457,0,2.941332493043713,2.9413511772051177,2.9004208947494807,0.040930282418735975,0,0,0,0,0,0,0,54,1,neutral,0
55,0.873015873015873,46.23273,55.67351097891626,120.53145503896154,0,2.941203401422226,2.9412126337520155,2.900498349668701,0.04071428404628946,0,0,0,0,0,0,0,55,1,neutral,0
56,0.8888888888888888,41.27606,53.61863837669801,125.56872108694621,0,2.941068248864716,2.941067221004285,2.9005757327862662,0.040491488180869,0,0,0,0,0,0,0,56,1,neutral,0
57,0.9047619047619047,37.2594,52.621582034119434,130.70855307728883,0,2.9409323224398487,2.9409225786738102,2.9006530434081657,0.040269535228369596,0,0,0,0,0,0,0,57,1,neutral,0
